时间,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2017/1/1,2446.7632,2398.7332,2346.5442,2351.4802,2273.5254,2259.2285,2253.5193,2240.6775,2213.848,2215.9893,2188.824,2209.6672,2160.6372,2151.8838,2151.8276,2161.0059,2168.2969,2184.2463,2172.8315,2162.7039,2189.563,2199.3691,2226.2444,2273.2769,2268.1235,2340.0908,2360.7122,2427.3452,2441.3203,2527.94,2600.2866,2730.1423,2803.7798,2881.6094,2943.2317,3010.912,2995.6133,3079.048,3103.895,3034.901,3040.1826,3034.388,3039.0422,3084.8252,3156.308,3139.2827,3104.979,3119.6794,3091.3323,3030.9,2987.4229,3018.2893,3022.8643,2996.87,2920.9348,2935.1885,2929.5217,2882.3298,2862.3123,2862.2375,2888.3193,2904.1003,2918.6252,2900.3855,2977.4749,3019.296,3068.1157,3189.8535,3248.8428,3402.0466,3427.3472,3438.4414,3467.7686,3402.0625,3398.031,3346.993,3355.613,3398.8909,3382.6355,3280.5344,3317.3994,3264.9712,3231.2742,3168.5908,3136.954,3072.1335,3006.9763,2914.4993,2809.671,2729.6084,2680.6345,2586.8784,2562.5222,2479.5532,2413.4978,2384.0044
2017/1/2,2339.674,2300.9788,2336.0757,2234.6511,2259.2883,2234.6924,2225.4888,2253.2163,2229.6008,2207.144,2213.7903,2178.1091,2184.6077,2173.018,2175.9731,2165.0186,2195.374,2160.1697,2135.5493,2155.1526,2212.954,2174.5186,2207.0125,2235.7466,2263.6628,2337.583,2405.9458,2479.1516,2468.478,2615.8118,2784.0688,2882.2026,3057.1604,3099.8,3185.2837,3246.7908,3313.5771,3286.3215,3376.5332,3349.788,3410.5576,3428.5789,3428.5945,3428.532,3438.1836,3443.277,3424.1685,3403.2786,3348.9805,3318.3855,3325.256,3298.004,3343.6592,3273.2222,3262.0562,3214.6697,3234.8528,3208.4995,3186.962,3165.1875,3253.4028,3244.1233,3218.5369,3241.527,3320.4973,3341.8037,3451.5623,3525.97,3611.334,3687.6204,3727.3533,3746.447,3766.1743,3698.3586,3670.7942,3627.4355,3656.2866,3610.2112,3570.374,3564.4285,3564.3296,3504.49,3420.1963,3321.89,3277.2524,3188.4663,3109.6582,3024.077,2936.954,2836.63,2770.0613,2699.2263,2648.7117,2625.394,2504.4065,2485.442
2017/1/3,2452.2896,2418.0928,2424.8435,2373.375,2387.1135,2384.376,2333.4883,2400.4973,2352.2554,2313.6948,2297.0906,2281.6165,2287.9233,2274.1558,2290.549,2289.2542,2320.2524,2297.3901,2301.6072,2278.2703,2287.8962,2326.7786,2358.0623,2369.5784,2460.796,2529.2468,2587.6858,2643.4167,2683.8242,2770.8074,2919.4868,3007.2366,3153.4568,3233.8765,3413.6287,3482.6619,3500.9785,3518.542,3553.1665,3537.0942,3589.3364,3578.3281,3581.7646,3617.3877,3700.9673,3637.4255,3640.2637,3553.7148,3543.26,3514.1296,3520.2598,3499.5862,3597.3406,3529.6992,3464.4685,3465.2502,3478.4277,3478.9102,3415.1956,3426.04,3460.2178,3507.5576,3502.8215,3501.285,3590.8303,3557.0105,3685.3687,3733.4172,3815.684,3942.0215,3943.4568,4017.9255,3917.6965,3948.155,3882.7517,3801.7695,3852.8628,3829.835,3805.0334,3714.731,3703.6096,3720.2856,3607.0054,3535.3186,3455.2385,3371.3494,3247.7937,3127.3464,3037.908,2949.1462,2852.4368,2787.5298,2807.9172,2778.6023,2711.8525,2609.3145
2017/1/4,2555.2947,2567.2595,2591.0098,2498.4734,2506.144,2444.6943,2471.4246,2482.6355,2500.037,2445.9612,2481.0828,2450.5854,2433.4543,2383.849,2369.9092,2407.7314,2462.7969,2435.397,2412.8228,2443.1604,2472.2354,2521.3633,2507.0332,2609.095,2679.6711,2816.7441,2903.199,2993.8352,3027.0508,3082.408,3203.2925,3313.5938,3485.457,3602.0156,3714.1418,3780.2617,3874.5996,3805.3008,3901.8828,3852.7283,3902.0913,3963.2002,3928.3584,3937.0374,3946.6797,3923.6719,3911.5046,3846.875,3814.5469,3775.0505,3748.899,3740.8599,3790.92,3773.9312,3752.5037,3788.5872,3728.711,3680.7258,3679.3726,3701.5906,3794.801,3777.7698,3791.4739,3768.2632,3819.6382,3826.2886,3892.602,3930.5156,3952.823,4035.155,4023.6995,3976.2737,3948.8435,3939.5952,3937.9033,3938.0244,3944.465,3883.1453,3870.2239,3854.974,3857.9973,3827.8892,3769.88,3655.2659,3531.9202,3499.0862,3432.6445,3238.2983,3119.4265,2966.8591,2928.0579,2864.5295,2857.1804,2798.5586,2709.8772,2632.8142
2017/1/5,2631.1924,2594.8518,2596.5005,2546.8918,2500.935,2578.716,2513.6497,2497.974,2492.0288,2503.1213,2445.4556,2477.5996,2483.183,2433.343,2448.0386,2443.0132,2479.0938,2461.165,2478.3518,2513.9075,2549.459,2591.5298,2619.733,2628.9216,2744.9133,2792.0154,2926.443,3012.799,3041.695,3075.5312,3207.6855,3296.538,3526.3242,3637.3005,3751.5068,3757.7998,3867.9758,3860.4207,3909.6448,3908.7222,3895.1675,3880.6282,3918.4915,3907.4417,3977.1562,3909.094,3928.533,3869.0503,3724.5378,3720.7346,3718.3464,3702.5127,3736.2273,3745.6284,3742.7485,3798.7708,3655.3975,3749.9268,3729.42,3726.8745,3747.1199,3715.8398,3703.7698,3762.3538,3832.1768,3825.335,3827.114,3873.9175,3906.6384,4002.7593,4032.2234,4013.95,3997.9978,3983.8274,3959.339,3962.2363,3942.4448,3864.8423,3895.268,3864.1006,3861.9492,3767.8298,3655.8403,3619.284,3544.6638,3439.0713,3380.2146,3302.731,3148.5183,3013.4548,2987.1775,2900.4595,2975.1091,2917.2876,2852.5923,2632.1582
2017/1/6,2637.8406,2609.7747,2734.356,2752.2644,2635.9731,2527.4424,2698.8323,2673.9067,2648.327,2511.7183,2449.2244,2435.2974,2569.0388,2630.5913,2589.447,2600.3132,2413.4788,2599.1602,2625.357,2624.8198,2642.316,2679.7769,2706.4226,2749.4524,2716.5083,2916.2258,2969.2124,3064.3738,2930.961,3020.9424,3091.6577,3317.2917,3471.6824,3579.3652,3661.1953,3662.8223,3717.571,3727.3052,3752.0078,3745.5496,3789.206,3741.591,3785.558,3822.9016,3794.2832,3767.9033,3938.459174,3878.82618,3733.948542,3609.828,3642.3066,3602.1492,3593.8884,3669.7737,3599.2559,3583.659,3587.7559,3559.1387,3604.0098,3540.0337,3587.5046,3635.344,3593.211,3634.9072,3665.7393,3640.5208,3688.7896,3716.435,3755.252,3853.715,3865.129,3918.9934,3836.9824,3815.861,3824.2175,3816.7217,3813.371,3793.471,3758.9321,3755.3787,3702.496,3657.5535,3550.7222,3500.999,3503.5947,3362.5842,3267.3584,3185.8315,3000.5557,2964.9019,2893.4438,2807.5725,2834.6309,2845.7751,2755.3586,2631.4998
2017/1/7,2552.7427,2577.792,2666.3743,2673.3774,2490.1401,2535.7463,2622.8298,2585.0405,2616.5996,2600.8184,2406.107,2382.6118,2410.1807,2569.2988,2395.1028,2411.6619,2422.1582,2408.1345,2397.3252,2419.7607,2453.8936,2483.3684,2691.7932,2748.668,2842.6587,2919.7368,2979.894,2960.4324,2971.0505,3106.894,3216.9827,3375.1936,3502.2727,3601.4763,3649.01,3694.2366,3739.863,3755.2527,3804.1516,3876.4075,3832.171,3844.5498,3826.2656,3832.7432,3816.4995,3856.8428,3841.394,3796.1182,3746.9326,3641.5024,3629.0146,3675.476,3667.0144,3803.4429,3678.6794,3739.3865,3620.661,3677.181,3666.9758,3622.41,3684.8823,3698.922,3732.024,3693.7136,3653.0784,3729.7979,3739.559,3763.3079,3765.6252,3859.92,3887.471,3853.2651,3799.7961,3815.7144,3830.0356,3825.9844,3785.813,3771.7305,3723.6423,3718.3896,3686.4436,3650.6199,3598.2915,3568.0613,3520.5403,3463.9182,3315.5378,3250.7212,3105.9397,2985.5854,2897.1008,2915.2148,2902.2476,2742.5737,2656.0657,2810.9346
2017/1/8,2768.8545,2563.3533,2538.436,2507.497,2518.917,2524.9966,2520.5967,2512.0015,2624.276,2608.8374,2483.816,2627.7346,2620.938,2635.4756,2392.544,2617.383,2628.7637,2425.047,2451.9182,2461.025,2512.8098,2644.4702,2702.9993,2794.2832,2715.6543,2940.9912,2994.3657,3076.1494,3005.8057,3026.3833,3113.943,3238.6555,3517.8337,3697.6516,3745.2256,3765.1318,3878.4766,3811.464,3880.8237,3841.1392,3934.4138,3970.6848,3947.5002,3932.5063,3991.969,3924.8699,3952.5742,3890.4556,3766.0054,3749.7136,3701.7983,3728.9146,3770.0815,3769.28,3710.2622,3793.2117,3715.4417,3753.2317,3756.0007,3704.264,3761.707,3744.0269,3765.939,3776.4258,3766.729,3845.848,3911.8271,3922.9006,3909.348,3956.6885,3957.1707,4010.6565,3919.7883,3879.1338,3886.5642,3885.3076,3845.448,3887.7554,3822.1057,3768.9075,3801.781,3750.5215,3704.4434,3582.2192,3555.9446,3462.3323,3344.2883,3216.8394,3093.1997,3003.8997,2879.5898,2858.302,2831.6943,2764.5527,2732.854,2681.669
2017/1/9,2629.3345,2607.5974,2648.8486,2616.3706,2600.1362,2566.5068,2543.5427,2497.2122,2504.4744,2489.3977,2522.3394,2528.8093,2492.7239,2466.0442,2483.7876,2471.3247,2508.6777,2492.3328,2507.202,2503.48,2522.4414,2578.5056,2625.2898,2686.1467,2818.778,2841.741,3035.1455,3047.401,3087.0562,3105.5818,3230.535,3419.2598,3594.0771,3622.1167,3725.6938,3798.9966,3837.782,3818.2883,3820.1926,3861.4878,3866.845,3902.0977,3901.8936,3856.1794,3978.6147,3983.6475,3833.0244,3805.8447,3761.8213,3708.777,3678.2847,3689.472,3757.349,3708.1675,3714.3608,3715.9646,3668.3838,3670.0684,3652.5728,3604.6143,3675.1318,3696.4255,3643.5852,3700.989,3710.0566,3696.9954,3780.4849,3832.3286,3818.0994,3863.6287,4016.9434,3992.745,3939.7407,3925.6814,3873.238,3874.7532,3906.3906,3861.0554,3864.9895,3897.7747,3778.0994,3808.3364,3733.345,3639.7192,3578.5103,3436.2705,3394.2483,3283.0017,3194.1416,3039.2966,2966.3083,2891.2517,2839.3945,2823.3083,2802.0684,2701.1577
2017/1/10,2646.9314,2654.0142,2663.5981,2635.5042,2554.7598,2598.7334,2574.3298,2566.6572,2532.7637,2500.284,2445.9397,2448.116,2475.6018,2413.872,2453.3887,2464.5977,2456.273,2450.282,2511.8372,2489.5503,2508.2412,2559.5947,2578.5996,2635.1492,2739.2231,2762.384,2819.816,2994.715,2992.8271,2981.835,3109.6257,3300.807,3539.112,3546.7603,3712.0999,3719.3494,3771.0403,3788.1138,3834.4624,3787.914,3821.3855,3818.9104,3783.249,3847.4626,3792.1338,3821.5073,3842.7732,3772.0933,3647.4297,3643.5986,3564.0422,3594.1584,3611.7925,3682.1514,3635.8828,3684.7175,3605.5393,3610.6106,3660.3796,3614.5566,3663.851,3623.8777,3592.5034,3645.6897,3675.7488,3643.6382,3716.453,3727.665,3778.5198,3793.0256,3869.5623,3866.4822,3796.3767,3800.7659,3757.5906,3760.6218,3726.3496,3706.2156,3684.0374,3713.8052,3643.4314,3579.8633,3518.2246,3459.6775,3417.7153,3286.0754,3223.729,3107.415,2982.8438,2873.5747,2794.065,2726.7039,2736.3176,2686.7031,2675.2922,2585.8591
